"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"SushiConfigLogicalModel.publisher.extension","SushiConfigLogicalModel.publisher.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SushiConfigLogicalModel.publisher.modifierExtension","SushiConfigLogicalModel.publisher.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SushiConfigLogicalModel.publisher.name","SushiConfigLogicalModel.publisher.name","","","",1,1,"","","","string {[]} {[]}
","Publisher Name","Name of the publishing organization, should match DAK publisher name","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.publisher.name",1,1,"",""
"SushiConfigLogicalModel.publisher.url","SushiConfigLogicalModel.publisher.url","","","",0,1,"","","","url {[]} {[]}
","Publisher URL","URL of the publishing organization, should match DAK publisher URL","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.publisher.url",0,1,"",""
"SushiConfigLogicalModel.publisher.email","SushiConfigLogicalModel.publisher.email","","","",0,1,"","","","string {[]} {[]}
","Publisher Email","Contact email for the publisher","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.publisher.email",0,1,"",""
"SushiConfigLogicalModel.fhirVersion","SushiConfigLogicalModel.fhirVersion","","","",1,1,"","","","code {[]} {[]}
","FHIR Version","Version of FHIR this IG is built on","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/FHIR-version","",,,,"SushiConfigLogicalModel.fhirVersion",1,1,"",""
"SushiConfigLogicalModel.dependencies","SushiConfigLogicalModel.dependencies","","","",0,*,"","","","BackboneElement {[]} {[]}
","Dependencies","Other IGs or packages this IG depends on","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.dependencies",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SushiConfigLogicalModel.dependencies.id","SushiConfigLogicalModel.dependencies.id","","","",1,1,"","","","string {[]} {[]}
","Dependency Package ID","Package ID of the dependency","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SushiConfigLogicalModel.dependencies.extension","SushiConfigLogicalModel.dependencies.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SushiConfigLogicalModel.dependencies.modifierExtension","SushiConfigLogicalModel.dependencies.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SushiConfigLogicalModel.dependencies.version","SushiConfigLogicalModel.dependencies.version","","","",1,1,"","","","string {[]} {[]}
","Dependency Version","Version of the dependency","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.dependencies.version",1,1,"",""
"SushiConfigLogicalModel.dependencies.reason","SushiConfigLogicalModel.dependencies.reason","","","",0,1,"","","","string {[]} {[]}
","Dependency Reason","Reason for this dependency","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.dependencies.reason",0,1,"",""
"SushiConfigLogicalModel.pages","SushiConfigLogicalModel.pages","","","",0,*,"","","","BackboneElement {[]} {[]}
","Pages","Custom pages included in the IG","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.pages",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SushiConfigLogicalModel.pages.id","SushiConfigLogicalModel.pages.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SushiConfigLogicalModel.pages.extension","SushiConfigLogicalModel.pages.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SushiConfigLogicalModel.pages.modifierExtension","SushiConfigLogicalModel.pages.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SushiConfigLogicalModel.pages.filename","SushiConfigLogicalModel.pages.filename","","","",1,1,"","","","string {[]} {[]}
","Page Filename","Filename of the page (e.g., index.md)","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.pages.filename",1,1,"",""
"SushiConfigLogicalModel.pages.title","SushiConfigLogicalModel.pages.title","","","",1,1,"","","","string {[]} {[]}
","Page Title","Title of the page","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.pages.title",1,1,"",""
"SushiConfigLogicalModel.menu","SushiConfigLogicalModel.menu","","","",0,*,"","","","BackboneElement {[]} {[]}
","Menu Structure","Navigation menu structure for the IG","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.menu",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SushiConfigLogicalModel.menu.id","SushiConfigLogicalModel.menu.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SushiConfigLogicalModel.menu.extension","SushiConfigLogicalModel.menu.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SushiConfigLogicalModel.menu.modifierExtension","SushiConfigLogicalModel.menu.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SushiConfigLogicalModel.menu.title","SushiConfigLogicalModel.menu.title","","","",1,1,"","","","string {[]} {[]}
","Menu Title","Title of the menu item","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.menu.title",1,1,"",""
"SushiConfigLogicalModel.menu.url","SushiConfigLogicalModel.menu.url","","","",1,1,"","","","string {[]} {[]}
","Menu URL","URL of the menu item","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.menu.url",1,1,"",""
"SushiConfigLogicalModel.menu.subItems","SushiConfigLogicalModel.menu.subItems","","","",0,*,"","","","BackboneElement {[]} {[]}
","Sub Menu Items","Sub-menu items","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.menu.subItems",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SushiConfigLogicalModel.menu.subItems.id","SushiConfigLogicalModel.menu.subItems.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SushiConfigLogicalModel.menu.subItems.extension","SushiConfigLogicalModel.menu.subItems.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SushiConfigLogicalModel.menu.subItems.modifierExtension","SushiConfigLogicalModel.menu.subItems.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SushiConfigLogicalModel.menu.subItems.title","SushiConfigLogicalModel.menu.subItems.title","","","",1,1,"","","","string {[]} {[]}
","Sub-item Title","Title of the sub-menu item","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.menu.subItems.title",1,1,"",""
"SushiConfigLogicalModel.menu.subItems.url","SushiConfigLogicalModel.menu.subItems.url","","","",1,1,"","","","string {[]} {[]}
","Sub-item URL","URL of the sub-menu item","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.menu.subItems.url",1,1,"",""
"SushiConfigLogicalModel.resources","SushiConfigLogicalModel.resources","","","",0,*,"","","","BackboneElement {[]} {[]}
","Resource Definitions","Explicit resource definitions for the IG","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.resources",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SushiConfigLogicalModel.resources.id","SushiConfigLogicalModel.resources.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SushiConfigLogicalModel.resources.extension","SushiConfigLogicalModel.resources.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SushiConfigLogicalModel.resources.modifierExtension","SushiConfigLogicalModel.resources.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SushiConfigLogicalModel.resources.reference","SushiConfigLogicalModel.resources.reference","","","",1,1,"","","","string {[]} {[]}
","Resource Reference","Reference to the resource (used as YAML key)","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.resources.reference",1,1,"",""
"SushiConfigLogicalModel.resources.name","SushiConfigLogicalModel.resources.name","","","",0,1,"","","","string {[]} {[]}
","Resource Name","Human-readable name for the resource","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.resources.name",0,1,"",""
"SushiConfigLogicalModel.resources.description","SushiConfigLogicalModel.resources.description","","","",0,1,"","","","string {[]} {[]}
","Resource Description","Description of the resource","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.resources.description",0,1,"",""
"SushiConfigLogicalModel.resources.exampleBoolean","SushiConfigLogicalModel.resources.exampleBoolean","","","",0,1,"","","","boolean {[]} {[]}
","Is Example","Whether this resource is an example","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.resources.exampleBoolean",0,1,"",""
"SushiConfigLogicalModel.resources.exampleCanonical","SushiConfigLogicalModel.resources.exampleCanonical","","","",0,1,"","","","canonical {[]} {[]}
","Example Canonical","Canonical URL this resource is an example of","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.resources.exampleCanonical",0,1,"",""
"SushiConfigLogicalModel.resources.groupingId","SushiConfigLogicalModel.resources.groupingId","","","",0,1,"","","","string {[]} {[]}
","Grouping ID","ID of the group this resource belongs to","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.resources.groupingId",0,1,"",""
"SushiConfigLogicalModel.groups","SushiConfigLogicalModel.groups","","","",0,*,"","","","BackboneElement {[]} {[]}
","Resource Groups","Logical groupings of resources in the IG","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.groups",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SushiConfigLogicalModel.groups.id","SushiConfigLogicalModel.groups.id","","","",1,1,"","","","string {[]} {[]}
","Group ID","Identifier for the group","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SushiConfigLogicalModel.groups.extension","SushiConfigLogicalModel.groups.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SushiConfigLogicalModel.groups.modifierExtension","SushiConfigLogicalModel.groups.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"SushiConfigLogicalModel.groups.name","SushiConfigLogicalModel.groups.name","","","",1,1,"","","","string {[]} {[]}
","Group Name","Human-readable name for the group","","","","","","","","","",,,,,"",,,,"SushiConfigLogicalModel.groups.name",1,1,"",""
